           t           E1           E2           E3           E4
0.000000e+00 2.194283e-02 4.814879e-04 1.033897e+03 8.101148e+01
1.000000e+00 2.139406e-02 4.577058e-04 1.011853e+03 7.636428e+01
2.000000e+00 2.068695e-02 4.279500e-04 9.894476e+02 7.486810e+01
3.000000e+00 1.985390e-02 3.941773e-04 9.668438e+02 6.818095e+01
4.000000e+00 1.893495e-02 3.585322e-04 9.443735e+02 6.392345e+01
5.000000e+00 1.797299e-02 3.230283e-04 9.224941e+02 5.738000e+01
6.000000e+00 1.701011e-02 2.893438e-04 9.011674e+02 5.219613e+01
7.000000e+00 1.607554e-02 2.584231e-04 8.804049e+02 4.642990e+01
8.000000e+00 1.518976e-02 2.307289e-04 8.605182e+02 4.127482e+01
9.000000e+00 1.436595e-02 2.063805e-04 8.415092e+02 3.682140e+01
1.000000e+01 1.360768e-02 1.851689e-04 8.231224e+02 3.284973e+01
1.100000e+01 1.291724e-02 1.668551e-04 8.051939e+02 2.947708e+01
1.200000e+01 1.229454e-02 1.511557e-04 7.878945e+02 2.663257e+01
1.300000e+01 1.173730e-02 1.377641e-04 7.713779e+02 2.421392e+01
1.400000e+01 1.124690e-02 1.264927e-04 7.555136e+02 2.284987e+01
1.500000e+01 1.082304e-02 1.171382e-04 7.400643e+02 2.189100e+01
1.600000e+01 1.046445e-02 1.095047e-04 7.260331e+02 2.114505e+01
1.700000e+01 1.015968e-02 1.032190e-04 7.130392e+02 2.191865e+01
1.800000e+01 9.887679e-03 9.776620e-05 7.003458e+02 2.371663e+01
1.900000e+01 9.633014e-03 9.279496e-05 6.878140e+02 2.456193e+01
2.000000e+01 9.392782e-03 8.822435e-05 6.754470e+02 2.495212e+01
2.100000e+01 9.168376e-03 8.405912e-05 6.631861e+02 2.483074e+01
2.200000e+01 8.956058e-03 8.021097e-05 6.509603e+02 2.401533e+01
2.300000e+01 8.747728e-03 7.652275e-05 6.388530e+02 2.287834e+01
2.400000e+01 8.538204e-03 7.290092e-05 6.269738e+02 2.167139e+01
2.500000e+01 8.325000e-03 6.930563e-05 6.154387e+02 2.052171e+01
2.600000e+01 8.109451e-03 6.576320e-05 6.043582e+02 1.942016e+01
2.700000e+01 7.897550e-03 6.237130e-05 5.938576e+02 1.840878e+01
2.800000e+01 7.696988e-03 5.924363e-05 5.839551e+02 1.746920e+01
2.900000e+01 7.511174e-03 5.641774e-05 5.746480e+02 1.659385e+01
3.000000e+01 7.343896e-03 5.393281e-05 5.660909e+02 1.577641e+01
3.100000e+01 7.196390e-03 5.178803e-05 5.583409e+02 1.501133e+01
3.200000e+01 7.066976e-03 4.994215e-05 5.513406e+02 1.429376e+01
3.300000e+01 6.952179e-03 4.833279e-05 5.450366e+02 1.361941e+01
3.400000e+01 6.847872e-03 4.689336e-05 5.393538e+02 1.298452e+01
3.500000e+01 6.751211e-03 4.557884e-05 5.341864e+02 1.306788e+01
3.600000e+01 6.659936e-03 4.435475e-05 5.294549e+02 1.376252e+01
3.700000e+01 6.573003e-03 4.320437e-05 5.251229e+02 1.413671e+01
3.800000e+01 6.488484e-03 4.210043e-05 5.211564e+02 1.414073e+01
3.900000e+01 6.405203e-03 4.102663e-05 5.175195e+02 1.418811e+01
4.000000e+01 6.323450e-03 3.998602e-05 5.141343e+02 1.398950e+01
4.100000e+01 6.242811e-03 3.897269e-05 5.109921e+02 1.362370e+01
4.200000e+01 6.163299e-03 3.798625e-05 5.080755e+02 1.321219e+01
4.300000e+01 6.084877e-03 3.702573e-05 5.053541e+02 1.288546e+01
4.400000e+01 6.007101e-03 3.608527e-05 5.028070e+02 1.260458e+01
4.500000e+01 5.930052e-03 3.516552e-05 5.004519e+02 1.229336e+01
4.600000e+01 5.853676e-03 3.426553e-05 4.983200e+02 1.203390e+01
4.700000e+01 5.777314e-03 3.337735e-05 4.964384e+02 1.176310e+01
4.800000e+01 5.700835e-03 3.249952e-05 4.948129e+02 1.143399e+01
4.900000e+01 5.626410e-03 3.165649e-05 4.934201e+02 1.108670e+01
5.000000e+01 5.557949e-03 3.089079e-05 4.921971e+02 1.074119e+01
5.100000e+01 5.498602e-03 3.023462e-05 4.910451e+02 1.040563e+01
5.200000e+01 5.449135e-03 2.969307e-05 4.898397e+02 1.008271e+01
5.300000e+01 5.407374e-03 2.923969e-05 4.884833e+02 9.771431e+00
5.400000e+01 5.370129e-03 2.883828e-05 4.868667e+02 1.014528e+01
5.500000e+01 5.336475e-03 2.847796e-05 4.848502e+02 1.036929e+01
5.600000e+01 5.309187e-03 2.818747e-05 4.823915e+02 1.068992e+01
5.700000e+01 5.288061e-03 2.796359e-05 4.796405e+02 1.081089e+01
5.800000e+01 5.270208e-03 2.777509e-05 4.767085e+02 1.074588e+01
5.900000e+01 5.252988e-03 2.759389e-05 4.736284e+02 1.056089e+01
6.000000e+01 5.234761e-03 2.740272e-05 4.704164e+02 1.032519e+01
6.100000e+01 5.214527e-03 2.719129e-05 4.670324e+02 1.013159e+01
6.200000e+01 5.191190e-03 2.694845e-05 4.634535e+02 1.056626e+01
6.300000e+01 5.163568e-03 2.666243e-05 4.596983e+02 1.076495e+01
6.400000e+01 5.130464e-03 2.632167e-05 4.557551e+02 1.086279e+01
6.500000e+01 5.091362e-03 2.592197e-05 4.515921e+02 1.074134e+01
6.600000e+01 5.046479e-03 2.546695e-05 4.471995e+02 1.052660e+01
6.700000e+01 4.996378e-03 2.496379e-05 4.425915e+02 1.028994e+01
6.800000e+01 4.941638e-03 2.441978e-05 4.378508e+02 1.047606e+01
6.900000e+01 4.882729e-03 2.384104e-05 4.331407e+02 1.063583e+01
7.000000e+01 4.821566e-03 2.324750e-05 4.283451e+02 1.068035e+01
7.100000e+01 4.760627e-03 2.266357e-05 4.237707e+02 1.051446e+01
7.200000e+01 4.701566e-03 2.210472e-05 4.191168e+02 1.027369e+01
7.300000e+01 4.645507e-03 2.158074e-05 4.142065e+02 1.001727e+01
7.400000e+01 4.593612e-03 2.110127e-05 4.093476e+02 9.762838e+00
7.500000e+01 4.546847e-03 2.067382e-05 4.050428e+02 9.513073e+00
7.600000e+01 4.504874e-03 2.029389e-05 4.013006e+02 9.268565e+00
7.700000e+01 4.466449e-03 1.994916e-05 3.980291e+02 9.029378e+00
7.800000e+01 4.429679e-03 1.962206e-05 3.951159e+02 8.795565e+00
7.900000e+01 4.393428e-03 1.930221e-05 3.924144e+02 8.567309e+00
8.000000e+01 4.356096e-03 1.897557e-05 3.898423e+02 8.344614e+00
8.100000e+01 4.317046e-03 1.863688e-05 3.873568e+02 8.127368e+00
8.200000e+01 4.276474e-03 1.828823e-05 3.849475e+02 7.915417e+00
8.300000e+01 4.234856e-03 1.793400e-05 3.826177e+02 7.708618e+00
8.400000e+01 4.192799e-03 1.757956e-05 3.803719e+02 7.506903e+00
8.500000e+01 4.151009e-03 1.723087e-05 3.781853e+02 7.310395e+00
8.600000e+01 4.109757e-03 1.689010e-05 3.760641e+02 7.119634e+00
8.700000e+01 4.069133e-03 1.655785e-05 3.740310e+02 7.000349e+00
8.800000e+01 4.029176e-03 1.623426e-05 3.720859e+02 6.903799e+00
8.900000e+01 3.990333e-03 1.592275e-05 3.702139e+02 6.809418e+00
9.000000e+01 3.952819e-03 1.562478e-05 3.684195e+02 6.717134e+00
9.100000e+01 3.917021e-03 1.534306e-05 3.667446e+02 6.626877e+00
9.200000e+01 3.882694e-03 1.507531e-05 3.651634e+02 6.538581e+00
9.300000e+01 3.849159e-03 1.481602e-05 3.636560e+02 6.452184e+00
9.400000e+01 3.816417e-03 1.456504e-05 3.622320e+02 6.367624e+00
9.500000e+01 3.784671e-03 1.432374e-05 3.609252e+02 6.284844e+00
9.600000e+01 3.753579e-03 1.408935e-05 3.597612e+02 6.203787e+00
9.700000e+01 3.722582e-03 1.385762e-05 3.587570e+02 6.268942e+00
9.800000e+01 3.690891e-03 1.362268e-05 3.578986e+02 6.501316e+00
9.900000e+01 3.658115e-03 1.338181e-05 3.571748e+02 6.595794e+00
1.000000e+02 3.624087e-03 1.313401e-05 3.565814e+02 6.611858e+00
1.010000e+02 3.589570e-03 1.288501e-05 3.561468e+02 6.560383e+00
1.020000e+02 3.555682e-03 1.264288e-05 3.558766e+02 6.456075e+00
1.030000e+02 3.523256e-03 1.241333e-05 3.557601e+02 6.332271e+00
1.040000e+02 3.492823e-03 1.219981e-05 3.558078e+02 6.204344e+00
1.050000e+02 3.464434e-03 1.200230e-05 3.560130e+02 6.077263e+00
1.060000e+02 3.438409e-03 1.182265e-05 3.563797e+02 5.952196e+00
1.070000e+02 3.414165e-03 1.165652e-05 3.569390e+02 5.829366e+00
1.080000e+02 3.390638e-03 1.149643e-05 3.577056e+02 5.708786e+00
1.090000e+02 3.366448e-03 1.133297e-05 3.586921e+02 5.590412e+00
1.100000e+02 3.340839e-03 1.116121e-05 3.598810e+02 5.474189e+00
1.110000e+02 3.313701e-03 1.098061e-05 3.612566e+02 5.360060e+00
1.120000e+02 3.285407e-03 1.079390e-05 3.627896e+02 5.247968e+00
1.130000e+02 3.256170e-03 1.060264e-05 3.644657e+02 5.137859e+00
1.140000e+02 3.225820e-03 1.040592e-05 3.662924e+02 5.029681e+00
1.150000e+02 3.194117e-03 1.020238e-05 3.682747e+02 4.931469e+00
1.160000e+02 3.161449e-03 9.994760e-06 3.704151e+02 4.876047e+00
1.170000e+02 3.128613e-03 9.788219e-06 3.727070e+02 4.821572e+00
1.180000e+02 3.096265e-03 9.586855e-06 3.751079e+02 4.768020e+00
1.190000e+02 3.064629e-03 9.391952e-06 3.775825e+02 4.715367e+00
1.200000e+02 3.034208e-03 9.206416e-06 3.801216e+02 4.663592e+00
1.210000e+02 3.005849e-03 9.035126e-06 3.827365e+02 4.612673e+00
1.220000e+02 2.980197e-03 8.881572e-06 3.854113e+02 4.562588e+00
1.230000e+02 2.957548e-03 8.747089e-06 3.881226e+02 4.513317e+00
1.240000e+02 2.937700e-03 8.630083e-06 3.908644e+02 4.464841e+00
1.250000e+02 2.920078e-03 8.526854e-06 3.936185e+02 4.417140e+00
1.260000e+02 2.903978e-03 8.433086e-06 3.963439e+02 4.370197e+00
1.270000e+02 2.888736e-03 8.344795e-06 3.989973e+02 4.323994e+00
1.280000e+02 2.874195e-03 8.260996e-06 4.015744e+02 4.278516e+00
1.290000e+02 2.860540e-03 8.182691e-06 4.040676e+02 4.233751e+00
1.300000e+02 2.847961e-03 8.110880e-06 4.064623e+02 4.189685e+00
1.310000e+02 2.836406e-03 8.045199e-06 4.087612e+02 4.146295e+00
1.320000e+02 2.825438e-03 7.983100e-06 4.109697e+02 4.103551e+00
1.330000e+02 2.814729e-03 7.922699e-06 4.130798e+02 4.061439e+00
1.340000e+02 2.803852e-03 7.861587e-06 4.150819e+02 4.019952e+00
1.350000e+02 2.792469e-03 7.797882e-06 4.169547e+02 3.979078e+00
1.360000e+02 2.780475e-03 7.731039e-06 4.186814e+02 3.938805e+00
1.370000e+02 2.768113e-03 7.662450e-06 4.202820e+02 3.899120e+00
1.380000e+02 2.755937e-03 7.595187e-06 4.217496e+02 3.860010e+00
1.390000e+02 2.744333e-03 7.531366e-06 4.230659e+02 3.821462e+00
1.400000e+02 2.732932e-03 7.468917e-06 4.242398e+02 3.783465e+00
1.410000e+02 2.721076e-03 7.404255e-06 4.253144e+02 3.746007e+00
1.420000e+02 2.708514e-03 7.336048e-06 4.263169e+02 3.709076e+00
1.430000e+02 2.695331e-03 7.264807e-06 4.272385e+02 3.672662e+00
1.440000e+02 2.681797e-03 7.192037e-06 4.280570e+02 3.636757e+00
1.450000e+02 2.668083e-03 7.118664e-06 4.287300e+02 3.601382e+00
1.460000e+02 2.655343e-03 7.050845e-06 4.292604e+02 3.566681e+00
1.470000e+02 2.644035e-03 6.990920e-06 4.296791e+02 3.641704e+00
1.480000e+02 2.633930e-03 6.937587e-06 4.300057e+02 3.679070e+00
1.490000e+02 2.624797e-03 6.889562e-06 4.302247e+02 3.652567e+00
1.500000e+02 2.616282e-03 6.844933e-06 4.303314e+02 3.593531e+00
1.510000e+02 2.607970e-03 6.801509e-06 4.303380e+02 3.522601e+00
1.520000e+02 2.599535e-03 6.757582e-06 4.302301e+02 3.498216e+00
1.530000e+02 2.590855e-03 6.712529e-06 4.299595e+02 3.501122e+00
1.540000e+02 2.581782e-03 6.665598e-06 4.294752e+02 3.481405e+00
1.550000e+02 2.572320e-03 6.616828e-06 4.287775e+02 3.478802e+00
1.560000e+02 2.562874e-03 6.568324e-06 4.281181e+02 3.490064e+00
1.570000e+02 2.553672e-03 6.521239e-06 4.274236e+02 3.501175e+00
1.580000e+02 2.545844e-03 6.481323e-06 4.266829e+02 3.512143e+00
1.590000e+02 2.540159e-03 6.452406e-06 4.259353e+02 3.522977e+00
1.600000e+02 2.537243e-03 6.437601e-06 4.251037e+02 3.533665e+00
1.610000e+02 2.537587e-03 6.439347e-06 4.243894e+02 3.544247e+00
1.620000e+02 2.540752e-03 6.455423e-06 4.238472e+02 3.554732e+00
1.630000e+02 2.545700e-03 6.480590e-06 4.233753e+02 3.565090e+00
1.640000e+02 2.551674e-03 6.511041e-06 4.229802e+02 3.575272e+00
1.650000e+02 2.557913e-03 6.542917e-06 4.226053e+02 3.748957e+00
1.660000e+02 2.563360e-03 6.570815e-06 4.222586e+02 3.887500e+00
1.670000e+02 2.567374e-03 6.591407e-06 4.218936e+02 3.948311e+00
1.680000e+02 2.569483e-03 6.602244e-06 4.215387e+02 3.954306e+00
1.690000e+02 2.569394e-03 6.601786e-06 4.212018e+02 3.929433e+00
1.700000e+02 2.566908e-03 6.589015e-06 4.208263e+02 3.891759e+00
1.710000e+02 2.561709e-03 6.562353e-06 4.204267e+02 3.850549e+00
1.720000e+02 2.553733e-03 6.521553e-06 4.200078e+02 3.808938e+00
1.730000e+02 2.543480e-03 6.469291e-06 4.195584e+02 3.767619e+00
1.740000e+02 2.531730e-03 6.409657e-06 4.190695e+02 3.726708e+00
1.750000e+02 2.519294e-03 6.346840e-06 4.185539e+02 3.686241e+00
1.760000e+02 2.506687e-03 6.283479e-06 4.180069e+02 3.646219e+00
1.770000e+02 2.494760e-03 6.223827e-06 4.174518e+02 3.606641e+00
1.780000e+02 2.484567e-03 6.173074e-06 4.169024e+02 3.567507e+00
1.790000e+02 2.477185e-03 6.136443e-06 4.163592e+02 3.528810e+00
1.800000e+02 2.473251e-03 6.116973e-06 4.158103e+02 3.490543e+00
1.810000e+02 2.472478e-03 6.113147e-06 4.152619e+02 3.452698e+00
1.820000e+02 2.473703e-03 6.119205e-06 4.146984e+02 3.415270e+00
1.830000e+02 2.475621e-03 6.128700e-06 4.141229e+02 3.378251e+00
1.840000e+02 2.477051e-03 6.135784e-06 4.135284e+02 3.341635e+00
1.850000e+02 2.477136e-03 6.136203e-06 4.129359e+02 3.305414e+00
