           t           E1           E2           E3           E4
0.000000e+00 2.485274e-02 6.176587e-04 1.648171e+03 1.251880e+02
1.000000e+00 2.448923e-02 5.997226e-04 1.623556e+03 1.188047e+02
2.000000e+00 2.387831e-02 5.701735e-04 1.599886e+03 1.078329e+02
3.000000e+00 2.307064e-02 5.322543e-04 1.577771e+03 9.467854e+01
4.000000e+00 2.212810e-02 4.896527e-04 1.556796e+03 8.276954e+01
5.000000e+00 2.112008e-02 4.460576e-04 1.536061e+03 7.131767e+01
6.000000e+00 2.011753e-02 4.047152e-04 1.515035e+03 6.420577e+01
7.000000e+00 1.915478e-02 3.669057e-04 1.493981e+03 5.916725e+01
8.000000e+00 1.824025e-02 3.327066e-04 1.473761e+03 5.588740e+01
9.000000e+00 1.738324e-02 3.021772e-04 1.455218e+03 5.317739e+01
1.000000e+01 1.659441e-02 2.753744e-04 1.438782e+03 4.913835e+01
1.100000e+01 1.588063e-02 2.521944e-04 1.424037e+03 4.486765e+01
1.200000e+01 1.524064e-02 2.322770e-04 1.410545e+03 4.109130e+01
1.300000e+01 1.466051e-02 2.149307e-04 1.397972e+03 3.772784e+01
1.400000e+01 1.412772e-02 1.995926e-04 1.385589e+03 3.505518e+01
1.500000e+01 1.363074e-02 1.857971e-04 1.372959e+03 3.290938e+01
1.600000e+01 1.316530e-02 1.733250e-04 1.360112e+03 3.085461e+01
1.700000e+01 1.273239e-02 1.621137e-04 1.347124e+03 3.027462e+01
1.800000e+01 1.233621e-02 1.521820e-04 1.334059e+03 2.950674e+01
1.900000e+01 1.198000e-02 1.435203e-04 1.320870e+03 2.814372e+01
2.000000e+01 1.166546e-02 1.360830e-04 1.307299e+03 2.660193e+01
2.100000e+01 1.139069e-02 1.297478e-04 1.293386e+03 2.508997e+01
2.200000e+01 1.114965e-02 1.243148e-04 1.279355e+03 2.449124e+01
2.300000e+01 1.093631e-02 1.196028e-04 1.265207e+03 2.679679e+01
2.400000e+01 1.074194e-02 1.153892e-04 1.250803e+03 2.809178e+01
2.500000e+01 1.055678e-02 1.114456e-04 1.235999e+03 2.932268e+01
2.600000e+01 1.037283e-02 1.075955e-04 1.220720e+03 2.998170e+01
2.700000e+01 1.018663e-02 1.037674e-04 1.204980e+03 3.028659e+01
2.800000e+01 9.996575e-03 9.993151e-05 1.188778e+03 3.063345e+01
2.900000e+01 9.803515e-03 9.610890e-05 1.172180e+03 3.076314e+01
3.000000e+01 9.611208e-03 9.237531e-05 1.155333e+03 3.024649e+01
3.100000e+01 9.423670e-03 8.880556e-05 1.138444e+03 2.940385e+01
3.200000e+01 9.240248e-03 8.538217e-05 1.121675e+03 2.852975e+01
3.300000e+01 9.057384e-03 8.203620e-05 1.105128e+03 2.752161e+01
3.400000e+01 8.874385e-03 7.875471e-05 1.088910e+03 2.648940e+01
3.500000e+01 8.693049e-03 7.556910e-05 1.073055e+03 2.548735e+01
3.600000e+01 8.517425e-03 7.254652e-05 1.057517e+03 2.453311e+01
3.700000e+01 8.353504e-03 6.978104e-05 1.042306e+03 2.362859e+01
3.800000e+01 8.207321e-03 6.736012e-05 1.027635e+03 2.278812e+01
3.900000e+01 8.080483e-03 6.529420e-05 1.013635e+03 2.201801e+01
