           t           E1           E2           E3           E4
0.000000e+00 2.544612e-02 6.475051e-04 3.629579e+03 1.419893e+02
1.000000e+00 2.508842e-02 6.294287e-04 3.596703e+03 1.384144e+02
2.000000e+00 2.450441e-02 6.004659e-04 3.565008e+03 1.349004e+02
3.000000e+00 2.375534e-02 5.643162e-04 3.534500e+03 1.306090e+02
4.000000e+00 2.287550e-02 5.232887e-04 3.503897e+03 1.230604e+02
5.000000e+00 2.190803e-02 4.799616e-04 3.471656e+03 1.157033e+02
6.000000e+00 2.089197e-02 4.364745e-04 3.436686e+03 1.048952e+02
7.000000e+00 1.987342e-02 3.949530e-04 3.398232e+03 9.327353e+01
8.000000e+00 1.890976e-02 3.575792e-04 3.356666e+03 8.402649e+01
9.000000e+00 1.802853e-02 3.250280e-04 3.312580e+03 7.538782e+01
1.000000e+01 1.723316e-02 2.969817e-04 3.266562e+03 6.775285e+01
1.100000e+01 1.652391e-02 2.730395e-04 3.219517e+03 6.122631e+01
1.200000e+01 1.589598e-02 2.526823e-04 3.174077e+03 5.567538e+01
1.300000e+01 1.532202e-02 2.347644e-04 3.131396e+03 5.110576e+01
1.400000e+01 1.477843e-02 2.184019e-04 3.090756e+03 5.173188e+01
1.500000e+01 1.425410e-02 2.031794e-04 3.051484e+03 5.090174e+01
1.600000e+01 1.374706e-02 1.889817e-04 3.013404e+03 4.925855e+01
1.700000e+01 1.326069e-02 1.758459e-04 2.976533e+03 4.759696e+01
1.800000e+01 1.279879e-02 1.638091e-04 2.941185e+03 4.539093e+01
1.900000e+01 1.236602e-02 1.529185e-04 2.907892e+03 4.302636e+01
2.000000e+01 1.196460e-02 1.431517e-04 2.876968e+03 4.063619e+01
2.100000e+01 1.159454e-02 1.344334e-04 2.848554e+03 3.836846e+01
2.200000e+01 1.125129e-02 1.265915e-04 2.822588e+03 3.633665e+01
2.300000e+01 1.093015e-02 1.194681e-04 2.799064e+03 3.440249e+01
2.400000e+01 1.062837e-02 1.129622e-04 2.778030e+03 3.286814e+01
